Month,Day,Title,Platform(s),Genre(s),Developer(s),Publisher(s),Ref.
D E C E M B E R,1.0,River City Girls 2[c],"Win, NS, PS4, PS5, XBO, XSX",Beat 'em up,WayForward,Arc System Works,[958]
D E C E M B E R,1.0,Romancing SaGa: Minstrel Song Remastered,"Win, NS, PS4, PS5, iOS, Droid",Role-playing,Square Enix,Square Enix,[959]
D E C E M B E R,1.0,Samurai Maiden[c],"NS, PS4, PS5",Hack and slash,Shade Inc.,D3 Publisher,[960]
D E C E M B E R,1.0,Spirit Hunter: Death Mark II[c],"NS, PS4",Horror,Experience,Experience,[961]
D E C E M B E R,1.0,The Walking Dead: Saints & Sinners – Chapter 2: Retribution,"Win, PS4",Survival,Skydance Interactive,Skydance Interactive,[895]
D E C E M B E R,1.0,WRC Generations,NS,Racing,Kylotonn,Nacon,[962]
D E C E M B E R,1.0,Yu-Gi-Oh! Rush Duel: Dawn of the Battle Royale!! Let’s Go! Go Rush!![c],NS,Card Game,Konami,Konami,[963]
D E C E M B E R,2.0,The Callisto Protocol,"Win, PS4, PS5, XBO, XSX",Survival,Striking Distance Studios,Krafton,[494]
D E C E M B E R,2.0,Marvel's Midnight Suns,"Win, PS5, XSX",Turn-based strategy,Firaxis Games,2K,[964]
D E C E M B E R,2.0,Need for Speed Unbound,"Win, PS5, XSX",Racing,Criterion Games,Electronic Arts,[965]
D E C E M B E R,6.0,Hello Neighbor 2,"Win, PS4, PS5, XBO, XSX",Action,Dynamic Pixels,tinyBuild,[966]
D E C E M B E R,6.0,Hindsight,"PS4, PS5, XBO, XSX",Adventure,Team Hindsight,Annapurna Interactive,[967]
D E C E M B E R,6.0,Sky: Children of the Light,PS4,Adventure,Thatgamecompany,Thatgamecompany,[968]
D E C E M B E R,7.0,Ixion,Win,City-building,Bulwark Studios,Kasedo Games,[969]
D E C E M B E R,8.0,Chained Echoes,"Win, Mac, Lin, NS, PS4, XBO",Role-playing,Matthias Linda,Deck13 Spotlight,[970]
D E C E M B E R,8.0,Idol Janshi Suchie-Pai Saturn Tribute[c],NS,Mahjong,City Connection,City Connection,[971]
D E C E M B E R,8.0,The Rumble Fish 2,"Win, NS, PS4, PS5, XBO, XSX",Fighting,Dimps,3goo,[972]
