Month,Day,Title,Platform(s),Genre(s),Developer(s),Publisher(s),Ref.
J U N E,3,Unexplored 2: The Wayfarer's Legacy,"XBO, XSX",Role-playing,Ludomotion,Big Sugar,[433]
J U N E,3,Wonder Boy Collection,"NS, PS4",Action,Bliss Brain,ININ Games,[453]
J U N E,6,Kemono Friends 3[c],PS4,Role-playing,Appirits,Appirits,[454]
J U N E,6,Lost Ruins,"NS, PS4, XBO",Action,Altari Games,Dangen Entertainment,[455]
J U N E,6,The Elder Scrolls Online: High Isle,"Win, Mac, Stadia",MMO,ZeniMax Online Studios,Bethesda Softworks,[456]
J U N E,7,Disc Room,XBO,Action,"Terri, Rose, Kitty, and JW",Devolver Digital,[457]
J U N E,7,Spacelines from the Far Out,"Win, XBO",Roguelike,Coffeenauts,Skystone Games,[458]
J U N E,8,The Cycle: Frontier,Win,First-person shooter,Yager Development,Yager Development,[459]
J U N E,8,My Lovely Wife,"Win, NS",Simulation,"GameChanger Studio, Toge Productions",Neon Doctrine,[460]
J U N E,8,Noel the Mortal Fate,PS4,Adventure,"Kawano, Vaka Game Magazine",Vaka Game Magazine,[461]
J U N E,8,Star Wars Knights of the Old Republic II: The Sith Lords,NS,Role-playing,Obsidian Entertainment,LucasArts,[462]
J U N E,8,Super Impossible Road,"PS4, PS5, XBO, XSX",Racing,Wonderful Lasers,Rogue Games,[463]
J U N E,9,Demon Slayer: Kimetsu no Yaiba – The Hinokami Chronicles[c],NS,Fighting,CyberConnect2,Aniplex,[464]
J U N E,9,Even If Tempest,NS,Visual novel,Voltage,Voltage,[465]
J U N E,9,Industria,"PS5, XSX",First-person shooter,Bleakmill,Headup,[466]
J U N E,9,Orcs Must Die! 3,PS5,Tower Defense,Robot Entertainment,Robot Entertainment,[467]
J U N E,9,Postal: Brain Damaged,Win,First-person shooter,Hyperstrange,Running with Scissors,[468]
J U N E,9,Pro Cycling Manager 2022,Win,Simulation,Cyanide Studio,Nacon,[469]
J U N E,9,Spacelines from the Far Out,"Mac, Lin",Roguelike,Coffeenauts,Skystone Games,[470]
J U N E,9,Tour de France 22,"Win, PS4, PS5, XBO, XSX",Sports,Cyanide Studio,Nacon,[471]
J U N E,10,Demon Slayer: Kimetsu no Yaiba – The Hinokami Chronicles[a],NS,Fighting,CyberConnect2,Sega,[464]
J U N E,10,Freshly Frosted,"Win, Mac, NS, PS4, PS5, XBO, XSX",Puzzle,The Quantum Astrophysicists Guild,The Quantum Astrophysicists Guild,[472]
J U N E,10,Mario Strikers: Battle League,NS,Sports,Next Level Games,Nintendo,[200]
